task,project,sanitizer,crash_type,source_rev
cpython3/oss-fuzz_368076875,cpython3,ASan,heap-use-after-free /src/cpython3/./Include/refcount.h:112:13 in _Py_IsImmortal,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
curl/arvo_66012,curl,ASan,heap-use-after-free /src/curl/lib/ftp.c:537:19 in ftp_endofresp,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
cyclonedds/arvo_51292,cyclonedds,ASan,SEGV /src/llvm-project/compiler-rt/lib/asan/../sanitizer_common/sanitizer_atomic_clang.h:81:10 in atomic_compare_exchange_strong<__sanitizer::atomic_uint8_t>,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
cyclonedds/arvo_56515,cyclonedds,UBSan,SEGV /src/cyclonedds/src/core/ddsi/src/ddsi_typelib.c:485:21 in ddsi_type_add_typeobj,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
dav1d/arvo_60432,dav1d,ASan,SEGV ../../src/dav1d/src/x86/ipred16_sse.asm in dav1d_pal_pred_16bpc_ssse3.w32,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
duckdb/arvo_56682,duckdb,ASan,container-overflow /src/llvm-project/compiler-rt/lib/asan/asan_interceptors_memintrinsics.cpp:22:3 in __asan_memcpy,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
elfutils/arvo_42264,elfutils,ASan,SEGV /src/elfutils/libdwfl/dwfl_segment_report_module.c:565:30 in dwfl_segment_report_module,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
elfutils/arvo_43307,elfutils,unknown,unknown,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
elfutils/arvo_56179,elfutils,MSan,use-of-uninitialized-value /src/elfutils/libdw/dwarf_begin_elf.c:265:7 in check_section,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
exiv2/arvo_45993,exiv2,ASan,"heap-buffer-overflow /src/exiv2/src/types.cpp:278:10 in Exiv2::getULong(unsigned char const*, Exiv2::ByteOrder)",b46456c46838b2b090d7e6ded5bfdf1ff583dba7
exiv2/arvo_50629,exiv2,ASan,heap-buffer-overflow /src/llvm-project/compiler-rt/lib/asan/../sanitizer_common/sanitizer_common_interceptors.inc:389:5 in strlen,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
exiv2/arvo_50901,exiv2,ASan,heap-buffer-overflow /src/llvm-project/compiler-rt/lib/asan/asan_interceptors_memintrinsics.cpp:22:3 in __asan_memcpy,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
exiv2/arvo_61675,exiv2,ASan,container-overflow /src/llvm-project/compiler-rt/lib/asan/../sanitizer_common/sanitizer_common_interceptors.inc:827:5 in __interceptor_memcpy,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
exiv2/arvo_64151,exiv2,ASan,heap-buffer-overflow /src/llvm-project/compiler-rt/lib/asan/../sanitizer_common/sanitizer_common_interceptors.inc:389:5 in strlen,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
faad2/arvo_58287,faad2,ASan,stack-buffer-overflow /src/faad2/libfaad/pns.c:102:17 in gen_rand_vector,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
faad2/arvo_58364,faad2,UBSan,undefined-behavior syntax.c:372:13 in,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
faad2/arvo_58452,faad2,MSan,use-of-uninitialized-value /src/faad2/libfaad/lt_predict.c:154:9 in real_to_int16,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_368729566,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavformat/mpegts.c:1608:16 in parse_MP4SLDescrTag,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_375286238,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavcodec/lossless_videodsp.c:80:5 in add_left_pred_c,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_376726596,ffmpeg,ASan,heap-buffer-overflow /src/ffmpeg/libavcodec/get_bits.h:391:26 in get_bits1,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_377642312,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavformat/iamf_parse.c in ff_iamf_parse_obu_header,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_378102638,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libswscale/swscale.c:119:18 in hScale16To15_c,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_383170476,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavformat/mlvdec.c:91:9 in read_string,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_383825642,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavutil/mem.c:276:22 in av_strdup,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_383825645,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavformat/mpegts.c:2026:13 in ff_parse_mpeg2_descriptor,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_385167047,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavformat/ipmovie.c:618:12 in ipmovie_read_header,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_385170375,ffmpeg,ASan,heap-buffer-overflow /src/ffmpeg/libavcodec/get_bits.h:658:5 in get_vlc2,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537562,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavcodec/pngdec.c:236:22 in ff_add_png_paeth_prediction,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537564,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavcodec/lossless_videodsp.c:80:5 in add_left_pred_c,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537569,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavcodec/apac.c:107:9 in get_code,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537575,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/./libavutil/common.h:183:14 in av_clip_c,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537576,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavformat/mpeg.c:571:14 in mpegps_read_packet,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537578,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavcodec/wmavoice.c:1629:9 in synth_frame,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537583,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavcodec/mjpegdec.c:853:9 in decode_block,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537584,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavcodec/vc1_pred.c:431:21 in ff_vc1_pred_mv,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537586,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavcodec/vp9dsp_template.c:1796:38 in loop_filter,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537594,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavcodec/xvididct.c:69:9 in idct_row,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537600,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/./libavutil/common.h:183:14 in av_clip_c,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537601,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavformat/demux.c:1450:13 in read_frame_internal,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537602,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavformat/av1dec.c in read_obu_with_size,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537616,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavcodec/vp3dsp.c:412:24 in vp3_h_loop_filter_c,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537629,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/./libavutil/common.h:245:9 in av_clip_int16_c,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537635,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavformat/mvdec.c:188:10 in parse_video_var,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537640,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavcodec/vp8dsp.c:692:1 in vp7_h_loop_filter_simple_c,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537641,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavcodec/cbs_vp9.c:400:17 in cbs_vp9_split_fragment,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537643,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavcodec/simple_idct_template.c:139:9 in idctRowCondDC_int16_8bit,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537660,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavcodec/vp8dsp.c:584:1 in put_vp8_epel8_h6v6_c,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537662,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavcodec/error_resilience.c:668:25 in guess_mv,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537664,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavcodec/dds.c:483:21 in run_postproc,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537665,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavformat/iamf_parse.c in ff_iamf_parse_obu_header,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537669,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavformat/mxfdec.c:1561:9 in mxf_read_indirect_value,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537683,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/./libavutil/common.h:282:9 in av_clip_uintp2_c,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537686,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/./libavutil/common.h:282:9 in av_clip_uintp2_c,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537687,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/./libavutil/common.h:282:9 in av_clip_uintp2_c,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537705,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavcodec/msmpeg4dec.c:804:9 in ff_msmpeg4_decode_block,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537730,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavformat/rmdec.c:201:36 in rm_read_audio_stream_info,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537734,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavcodec/webp.c:455:19 in decode_entropy_image,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537735,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavcodec/jpegxl_parse.c:276:63 in ff_jpegxl_parse_codestream_header,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537748,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavcodec/h263dsp.c:87:13 in h263_v_loop_filter_c,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537769,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavcodec/h274.c:179:63 in generate,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537773,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/./libavutil/common.h:183:14 in av_clip_c,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537788,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/./libavutil/common.h:282:9 in av_clip_uintp2_c,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537827,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavformat/apetag.c:125:9 in ff_ape_parse_tag,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537828,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavcodec/vc1dsp.c:157:9 in vc1_filter_line,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537859,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavcodec/rv30dsp.c:261:1 in put_rv30_tpel8_h_lowpass,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537861,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/./libavutil/common.h:200:14 in av_clip64_c,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42537998,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavcodec/idctdsp.c:134:17 in put_signed_pixels_clamped_c,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42538001,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavcodec/notchlc.c:163:11 in decode_blocks,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42538056,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavformat/argo_brp.c:389:62 in argo_brp_read_packet,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42538131,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavformat/iamf_parse.c in ff_iamf_parse_obu_header,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42538238,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavformat/mxfdec.c:693:9 in mxf_decrypt_triplet,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42538351,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/./libavutil/common.h:212:9 in av_clip_uint8_c,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42538357,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavformat/qcp.c:79:29 in is_qcelp_13k_guid,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_42538574,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/./libavutil/common.h:183:14 in av_clip_c,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_431665305,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavcodec/dxv.c:314:13 in dxv_decompress_cgo,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_432058941,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/./libavcodec/h26x/h2656_sao_template.c:42:22 in sao_band_filter_8,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_435225510,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavcodec/texturedsp.c:63:14 in extract_color,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_435779505,ffmpeg,ASan,heap-buffer-overflow /src/ffmpeg/libavcodec/h264chroma_template.c:207:1 in put_h264_chroma_mc1_8_c,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_436385279,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavcodec/notchlc.c:192:27 in decode_blocks,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_436997807,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavcodec/scpr3.c:1202:27 in decompress_p3,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_438780119,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavcodec/utvideodec.c:732:19 in decode_frame,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_439878388,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/./libavcodec/mathops.h:106:13 in mid_pred,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_443923343,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavformat/flac_picture.c:167:29 in ff_flac_parse_picture,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ffmpeg/oss-fuzz_445961558,ffmpeg,MSan,use-of-uninitialized-value /src/ffmpeg/libavcodec/lossless_videodsp.c:100:5 in add_left_pred_int16_c,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
file/arvo_38393,file,ASan,SEGV /src/file/src/cdf.c:181:8 in cdf_getuint32,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
file/arvo_48736,file,ASan,heap-buffer-overflow /src/file/src/is_json.c:407:15 in json_parse,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
file/arvo_51603,file,ASan,"heap-buffer-overflow /src/llvm-project/compiler-rt/lib/asan/../sanitizer_common/sanitizer_common_interceptors_format.inc:553:9 in printf_common(void*, char const*, __va_list_tag*)",b46456c46838b2b090d7e6ded5bfdf1ff583dba7
flac/arvo_17069,flac,ASan,heap-buffer-overflow /src/flac/src/libFLAC/bitreader.c:872:8 in FLAC__bitreader_read_rice_signed_block,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
flac/arvo_38347,flac,ASan,heap-buffer-overflow /src/flac/src/libFLAC/lpc_intrin_sse41.c:1017:13 in FLAC__lpc_restore_signal_intrin_sse41,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
flac/arvo_38815,flac,MSan,use-of-uninitialized-value /usr/include/fuzzing/memory.hpp:37:5 in memory_test_msan,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
flac/arvo_47525,flac,MSan,use-of-uninitialized-value /src/flac/src/libFLAC/stream_decoder.c:2019:6 in frame_sync_,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
flac/arvo_57320,flac,MSan,use-of-uninitialized-value /src/flac/src/share/grabbag/cuesheet.c:192:5 in local__parse_ms_,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
flac/arvo_57354,flac,ASan,heap-use-after-free /src/flac/oss-fuzz/../src/flac/analyze.c:144:28 in flac__analyze_frame,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
flac/arvo_58481,flac,ASan,heap-buffer-overflow /src/flac/oss-fuzz/../src/flac/analyze.c:144:28 in flac__analyze_frame,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
flac/arvo_61292,flac,ASan,heap-use-after-free /src/flac/oss-fuzz/../src/metaflac/options.c:256:57 in parse_options,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
flac/arvo_63790,flac,MSan,use-of-uninitialized-value /src/flac/oss-fuzz/../src/flac/decode.c:1308:49 in write_callback,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
flac/oss-fuzz_42537169,flac,MSan,use-of-uninitialized-value /src/flac/src/share/replaygain_synthesis/replaygain_synthesis.c:250:6 in dither_output_,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
flatbuffers/arvo_46883,flatbuffers,MSan,use-of-uninitialized-value /src/flatbuffers/src/idl_parser.cpp:495:47 in flatbuffers::Parser::Next(),b46456c46838b2b090d7e6ded5bfdf1ff583dba7
fluent-bit/arvo_26325,fluent-bit,ASan,"heap-buffer-overflow /src/llvm-project/compiler-rt/lib/asan/../sanitizer_common/sanitizer_common_interceptors_format.inc:553:9 in printf_common(void*, char const*, __va_list_tag*)",b46456c46838b2b090d7e6ded5bfdf1ff583dba7
fluent-bit/arvo_26327,fluent-bit,ASan,heap-buffer-overflow /src/fluent-bit/src/flb_strptime.c:674:6 in _conv_num,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
fluent-bit/arvo_26345,fluent-bit,ASan,heap-use-after-free /src/fluent-bit/src/flb_parser_decoder.c:743:5 in flb_parser_decoder_list_destroy,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
fluent-bit/arvo_26593,fluent-bit,ASan,heap-buffer-overflow /src/fluent-bit/src/flb_utils.c:477:9 in flb_utils_time_to_seconds,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
fluent-bit/arvo_27025,fluent-bit,ASan,double-free /src/llvm-project/compiler-rt/lib/asan/asan_malloc_linux.cpp:127:3 in free,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
fluent-bit/arvo_27241,fluent-bit,ASan,heap-buffer-overflow /src/fluent-bit/src/flb_strptime.c:442:11 in _flb_strptime,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
fluent-bit/arvo_27279,fluent-bit,ASan,double-free /src/llvm-project/compiler-rt/lib/asan/asan_malloc_linux.cpp:127:3 in free,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
fluent-bit/arvo_27710,fluent-bit,ASan,heap-buffer-overflow /src/fluent-bit/src/flb_signv4.c:190:18 in flb_signv4_uri_normalize_path,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
fluent-bit/arvo_28265,fluent-bit,ASan,heap-buffer-overflow /src/fluent-bit/src/flb_http_client.c:308:9 in process_chunked_data,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
fluent-bit/arvo_30090,fluent-bit,ASan,heap-buffer-overflow /src/llvm-project/compiler-rt/lib/asan/asan_interceptors_memintrinsics.cpp:22:3 in __asan_memcpy,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
fluent-bit/arvo_33750,fluent-bit,ASan,double-free /src/llvm-project/compiler-rt/lib/asan/asan_malloc_linux.cpp:127:3 in free,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
fluent-bit/arvo_34116,fluent-bit,ASan,double-free /src/llvm-project/compiler-rt/lib/asan/asan_malloc_linux.cpp:127:3 in free,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
fluent-bit/arvo_46082,fluent-bit,unknown,unknown,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
fluent-bit/arvo_51132,fluent-bit,ASan,double-free /src/llvm-project/compiler-rt/lib/asan/asan_malloc_linux.cpp:52:3 in free,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
fmt/arvo_25884,fmt,ASan,stack-buffer-overflow /src/fmt/build/../include/fmt/core.h:729:21 in fmt::v7::detail::buffer<char>::push_back(char const&),b46456c46838b2b090d7e6ded5bfdf1ff583dba7
freetype2/arvo_368,freetype2,ASan,heap-use-after-free /src/freetype2/src/cff/cffparse.c:440:10 in cff_parse_num,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
freetype2/arvo_509,freetype2,ASan,heap-buffer-overflow /src/freetype2/src/truetype/ttobjs.c:1215:27 in tt_size_reset,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
freetype2/arvo_759,freetype2,ASan,heap-buffer-overflow /src/freetype2/src/truetype/ttgxvar.c:2139:25 in TT_Get_MM_Var,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
freetype2/arvo_8933,freetype2,ASan,heap-buffer-overflow /src/freetype2/src/sfnt/ttcpal.c:268:18 in tt_face_palette_set,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
freetype2/arvo_8968,freetype2,ASan,heap-buffer-overflow /src/freetype2/src/sfnt/ttcpal.c:133:28 in tt_face_load_cpal,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
fribidi/arvo_34695,fribidi,unknown,unknown,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
gdal/arvo_4071,gdal,ASan,"heap-buffer-overflow /src/gdal/gdal/gcore/overview.cpp:1912:66 in CPLErr GDALResampleChunk32R_ConvolutionT<float, false>(double, double, double, double, float const*, int, unsigned char*, int, int, int, int, int, int, int, int, GDALRasterBand**, int, float, double (*)(double), double (*)(double*), int, float)",b46456c46838b2b090d7e6ded5bfdf1ff583dba7
gdbm/arvo_38943,gdbm,unknown,unknown,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ghostscript/arvo_42268,ghostscript,ASan,memcpy-param-overlap /src/llvm-project/compiler-rt/lib/asan/../sanitizer_common/sanitizer_common_interceptors.inc:827:5 in __interceptor_memcpy,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ghostscript/arvo_42280,ghostscript,ASan,heap-use-after-free /src/ghostpdl/./base/stream.c:415:24 in stell,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ghostscript/arvo_42298,ghostscript,ASan,stack-buffer-overflow /src/ghostpdl/./pdf/pdf_font1C.c:765:14 in pdfi_read_cff_integer,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ghostscript/arvo_42322,ghostscript,ASan,heap-buffer-overflow /src/ghostpdl/./pdf/pdf_fapi.c:212:37 in pdfi_fapi_get_word,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ghostscript/arvo_42325,ghostscript,ASan,heap-buffer-overflow /src/ghostpdl/./pdf/pdf_repair.c:439:103 in pdfi_repair_file,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ghostscript/arvo_42327,ghostscript,ASan,heap-buffer-overflow /src/ghostpdl/./pdf/pdf_deref.c:560:27 in pdfi_deref_compressed,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ghostscript/arvo_42329,ghostscript,ASan,stack-buffer-overflow /src/llvm-project/compiler-rt/lib/asan/../sanitizer_common/sanitizer_common_interceptors.inc:827:5 in __interceptor_memcpy,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ghostscript/arvo_42479,ghostscript,ASan,negative-size-param /src/llvm-project/compiler-rt/lib/asan/../sanitizer_common/sanitizer_common_interceptors.inc:827:5 in __interceptor_memcpy,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ghostscript/arvo_42560,ghostscript,ASan,heap-buffer-overflow /src/ghostpdl/./base/gsmchunk.c:654:16 in insert_free,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ghostscript/arvo_42613,ghostscript,ASan,"global-buffer-overflow /src/llvm-project/compiler-rt/lib/asan/../sanitizer_common/sanitizer_common_interceptors.inc:860:7 in MemcmpInterceptorCommon(void*, int (*)(void const*, void const*, unsigned long), void const*, void const*, unsigned long)",b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ghostscript/arvo_42616,ghostscript,ASan,SEGV /src/ghostpdl/./pdf/pdf_deref.c:609:68 in pdfi_deref_compressed,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
ghostscript/arvo_42633,ghostscript,ASan,SEGV /src/ghostpdl/./base/gsmchunk.c:663:12 in remove_free_loc,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
